asin,title,price,rating,reviews,countryOfOrigin,category1,bsr1,category2,bsr2,category3,bsr3,variations,sellers,fulfillment,revenue30d,unitSales30d,url,image,isPrime,isSponsored,pageNum,scrapedAt
"B00DLDH1N2","Quest Nutrition Chocolate Chip Cookie Dough Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count","$26.24","4.3","104612","","Health & Household","26","Sports Nutrition Protein Bars","1","Sales & Deals","5","21","8","AMZ","$4,636,697.66","183,733","https://www.amazon.com/dp/B00DLDH1N2","https://images-na.ssl-images-amazon.com/images/I/81bOQhkUXFL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.093Z"
"B00GJ82VK4","Pure Protein Chocolate Peanut Butter Protein Bars – 20g Protein, 3g Sugar, 190 Calories (12 count) Low Sugar* High Protein Snack - Gluten Free - Perfect for a Healthy Snack","$15.01","4.3","77413","","Health & Household","37","Sports Nutrition Protein Bars","2","Sales & Deals","15","14","1","AMZ","$2,751,064.60","169,639","https://www.amazon.com/dp/B00GJ82VK4","https://images-na.ssl-images-amazon.com/images/I/81xEXmuBDhL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.096Z"
"B09PYB4MQS","Barebells Protein Bars Variety Pack - 12 Count, 1.9oz Bars - Protein Snacks with 20g of High Protein - Chocolate Protein Bar with 1g of Total Sugars - Perfect on The Go Protein Snack & Breakfast Bars","$31.99","4.4","19029","","Health & Household","112","Sports Nutrition Protein Bars","3","","","52","5","FBA","$3,806,996.25","105,734","https://www.amazon.com/dp/B09PYB4MQS","https://images-na.ssl-images-amazon.com/images/I/818+sfZJllL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.099Z"
"B0BCR4H9KJ","Built Bar, Puff Protein Bars, Variety Pack, Collagen, On-the-go Snacks, Breakfast Bar, Mixed Sampler, 12 Pack","$29.99","4.5","12312","","Health & Household","159","Sports Nutrition Protein Bars","4","","","18","3","MERCH","$240,695.83","7,324","https://www.amazon.com/dp/B0BCR4H9KJ","https://images-na.ssl-images-amazon.com/images/I/81Jo+eRDd4L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.103Z"
"B004F1LNDI","Honey Stinger Organic Honey Waffle, Energy Stroopwafel for Exercise, Endurance and Performance, Sports Nutrition for Home & Gym, Pre and Post Workout, Box of 16 Waffles, 16.96 Ounce (Pack of 16)","$19.88","4.6","20628","","Health & Household","281","Sports Nutrition Endurance & Energy Bars","1","","","22","5","AMZ","$1,008,401.40","51,073","https://www.amazon.com/dp/B004F1LNDI","https://images-na.ssl-images-amazon.com/images/I/714IS8b6iWL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.105Z"
"B07TPYQHS9","Gomacro, Nutrition Bar Oatmeal Chocolate Chip Organic 12 Count, 2.3 Ounce","$27.87","4.4","11105","","Health & Household","304","Sports Nutrition Food Bars","1","","","17","2","AMZ","$1,605,975.49","56,642","https://www.amazon.com/dp/B07TPYQHS9","https://images-na.ssl-images-amazon.com/images/I/51Imb7HRZDL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.107Z"
"B0CXQ5ZHWH","CLIF BAR - Energy Protein Bars - Chocolate Chip - Made with Organic Oats - Energy Bars - Non-GMO - (15 Pack)","$17.06","4.7","5108","","Health & Household","169","Sports Nutrition Endurance & Energy Products","1","Sports Nutrition Endurance & Energy Bars","2","6","2","AMZ","$1,059,840.71","62,554","https://www.amazon.com/dp/B0CXQ5ZHWH","https://images-na.ssl-images-amazon.com/images/I/81CovauK1OL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.109Z"
"B0719163RQ","Quest Nutrition Crispy Chocolate Peanut Butter Hero Protein Bar, 18g Protein, 1g Sugar, 3g Net Carb, Gluten Free Protein Snack, Keto Friendly, 12 Count","$21.49","4.6","10831","","Health & Household","477","Sports Nutrition Protein Bars","5","","","13","6","AMZ","$919,182.94","44,439","https://www.amazon.com/dp/B0719163RQ","https://images-na.ssl-images-amazon.com/images/I/81P+lleCkUL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.111Z"
"B00T0BUBI6","Gatorade Whey Protein Recover Bars, Chocolate Chip, 2.8 ounce(Pack of 12)","$20.06","4.5","23633","","Health & Household","851","Sports Nutrition Protein Bars","6","","","8","8","AMZ","$607,573.21","28,936","https://www.amazon.com/dp/B00T0BUBI6","https://images-na.ssl-images-amazon.com/images/I/81CPhQt64RL._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.113Z"
"B0CV4DFK75","Legendary Foods 22g Protein Pastry 0g Added Sugar, Low Carb, Gluten Conscious, Keto Snack, Ideal for Glucose Management, Includes Whey Protein Isolate, 8 Pack Frosted Cinnamon","$19.99","4.0","2872","","Health & Household","670","Sports Nutrition Protein Bars","7","Sports Nutrition Protein","24","4","1","FBA","$403,265.13","15,481","https://www.amazon.com/dp/B0CV4DFK75","https://images-na.ssl-images-amazon.com/images/I/81z5Y3d089L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.114Z"
"B01N16U5PC","ONE Protein Bars, Maple Glazed Doughnut, Gluten Free with 20g Protein and 1g Sugar, Pantry Staples, 2.12 oz (12 Count)","$31.69","4.4","26283","","Health & Household","988","Sports Nutrition Protein Bars","8","Sales & Deals","202","10","6","AMZ","$669,564.22","24,722","https://www.amazon.com/dp/B01N16U5PC","https://images-na.ssl-images-amazon.com/images/I/71josEwiR+L._AC_UL600_SR600,400_.jpg","false","false","1","2026-02-07T08:33:40.118Z"
